FID,block_id,census_year,clue_small_area,commercial_accommodation,common_area,community_use,educational_research,entertainment_recreation_indoor,equipment_installation,hospital_clinic,house_townhouse,institutional_accommodation,manufacturing,office,park_reserve,parking_commercial_covered,parking_commercial_uncovered,parking_private_covered,parking_private_uncovered,performances_conferences_ceremonies,private_outdoor_space,public_display_area,residential_apartment,retail_cars,retail_shop,retail_showroom,retail_stall,sports_and_recreation_outdoor,square_promenade,storage,student_accommodation,total_space_in_block,transport,transport_storage_uncovered,unoccupied_under_construction,unoccupied_under_demolition_condemned,unoccupied_under_renovation,unoccupied_undeveloped_site,unoccupied_unused,wholesale,workshop_studio,wkb_geometry
com_clue_floor_use_block_2016.415,415,2016,West Melbourne (Residential),0,,0,0,0,0,0,6515,0,0,0,0,0,0,378,0,0,1785,0,2794,0,,0,0,0,0,0,0,12617.03027344,0,0,0,0,0,0,,0,,"MULTIPOLYGON (((-37.807151656659904 144.94414707471603, -37.80796661777983 144.9460149340721, -37.808537495864066 144.94539865528915, -37.807793541053115 144.94370206804953, -37.807151656659904 144.94414707471603)))"
com_clue_floor_use_block_2016.412,412,2016,West Melbourne (Residential),0,482,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5795,0,0,0,0,0,0,0,0,,"MULTIPOLYGON (((-37.80732381488938 144.9427148259149, -37.8065878592121 144.94284670798106, -37.807151656659904 144.94414707471603, -37.807793541053115 144.94370206804953, -37.80732381488938 144.9427148259149)))"
com_clue_floor_use_block_2016.411,411,2016,West Melbourne (Residential),0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2516,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.80741789935814 144.94269796554164, -37.80732381488938 144.9427148259149, -37.807793541053115 144.94370206804953, -37.80827923656751 144.94336690238254, -37.80741789935814 144.94269796554164)))"
com_clue_floor_use_block_2016.410,410,2016,West Melbourne (Residential),0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2561.90991211,0,0,0,0,0,0,1814,0,0,"MULTIPOLYGON (((-37.80732381488938 144.9427148259149, -37.80741789935814 144.94269796554164, -37.80621177827184 144.94175101160093, -37.80614226744421 144.94176340369373, -37.8065878592121 144.94284670798106, -37.80732381488938 144.9427148259149)))"
com_clue_floor_use_block_2016.409,409,2016,West Melbourne (Residential),0,1343,0,0,,,0,474,0,0,,0,0,0,,0,0,414,0,3864,0,,0,0,0,0,,0,19270.98046875,0,0,11901,0,0,0,,0,0,"MULTIPOLYGON (((-37.80543041395481 144.94305250266584, -37.8065878592121 144.94284670798106, -37.80614226744421 144.94176340369373, -37.80543040434141 144.94189031098406, -37.80537501425784 144.94248833509016, -37.80543041395481 144.94305250266584)))"
com_clue_floor_use_block_2016.414,414,2016,West Melbourne (Residential),0,1667,0,0,,0,0,4032,,0,2786,0,0,0,2344,0,,3584,0,6132,0,,,0,0,0,,0,25468.97070312,0,0,0,0,0,0,,0,,"MULTIPOLYGON (((-37.80615481623095 144.9448383320427, -37.807090994044316 144.94696869637522, -37.80796661777983 144.9460149340721, -37.807151656659904 144.94414707471603, -37.80615481623095 144.9448383320427)))"
com_clue_floor_use_block_2016.353,353,2016,North Melbourne,3852,4999,0,0,,0,,9837,6610,0,1449,0,0,0,2846,,0,21214,0,12048,0,458,0,0,0,0,0,0,64762.578125,0,0,0,0,0,0,,0,0,"MULTIPOLYGON (((-37.79661227173731 144.95121992801504, -37.797042512072856 144.95067478966422, -37.79754265377838 144.95004162618022, -37.79501840675145 144.9468817860043, -37.79404964732902 144.94705364393766, -37.79392025528496 144.94710801473602, -37.79347872804157 144.9472935435854, -37.793541507002296 144.9473722026332, -37.79476086467947 144.9489000264969, -37.79658257308317 144.9511827136962, -37.79661227173731 144.95121992801504)))"
com_clue_floor_use_block_2016.301,301,2016,North Melbourne,0,857,0,0,0,0,0,12429,0,0,,0,0,0,0,0,0,8732,0,4575,0,427,0,0,0,0,0,0,27583.66992188,0,0,,0,0,0,0,0,0,"MULTIPOLYGON (((-37.7925266318279 144.94539104571928, -37.79218496128193 144.94228537636144, -37.79099015819642 144.94249909046422, -37.790915545984696 144.94251243664735, -37.79029461515793 144.9432984795418, -37.79034279894942 144.9433589426633, -37.79210757519655 144.945573101245, -37.7925266318279 144.94539104571928)))"
com_clue_floor_use_block_2016.318,318,2016,North Melbourne,0,318,0,,0,0,0,10287,0,0,0,0,0,0,0,0,,7973,0,1108,0,0,0,0,0,0,0,0,22975.11914062,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.796128663153745 144.94471657568604, -37.79642131215338 144.9446661459979, -37.79729034425823 144.9445108164095, -37.79817744490916 144.94435225384262, -37.79772121805202 144.94385651342668, -37.79683570318266 144.94289432718446, -37.79579788498212 144.9417666876922, -37.796128663153745 144.94471657568604)))"
com_clue_floor_use_block_2016.319,319,2016,North Melbourne,0,5195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,37281,0,68979.2578125,0,0,0,0,0,0,,0,0,"MULTIPOLYGON (((-37.79558825116497 144.9401500247857, -37.79560750171408 144.9402173966782, -37.79578410871273 144.94164154895006, -37.79579397354155 144.9417318122404, -37.79579788498212 144.9417666876922, -37.79683570318266 144.94289432718446, -37.79772121805202 144.94385651342668, -37.79780983727317 144.943726985793, -37.79837867214419 144.94288051330417, -37.797731863574235 144.94217122522605, -37.79802555610158 144.9417684138551, -37.79778350713932 144.9415043509742, -37.797646909186895 144.94135533050442, -37.79639749335931 144.93998498628636, -37.79558825116497 144.9401500247857)))"
